연번,호선,역명,구주소,도로명 주소,전화번호
33,2,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(2호선),서울특별시 서초구 서초대로 지하 294 (서초동),02-6110-2231
34,2,서초,서울특별시 서초구 서초동 1748-5 서초역,서울특별시 서초구 서초대로 지하 233 (서초동),02-6110-2241
35,2,방배,서울특별시 서초구 방배동 912-14 방배역,서울특별시 서초구 방배로 지하 80 (방배동),02-6110-2251
36,2,사당,서울특별시 동작구 사당동 1129 사당역(2호선),서울특별시 동작구 남부순환로 지하 2089 (사당동),02-6110-2261
37,2,낙성대,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,서울특별시 관악구 남부순환로 지하 1928 (봉천동),02-6110-2271
38,2,서울대입구(관악구청),서울특별시 관악구 봉천동 979-2 서울대입구역사,서울특별시 관악구 남부순환로 지하 1822 (봉천동),02-6110-2281
39,2,봉천,서울툭별시 관악구 봉천동 979-7 2호선 봉천역사,서울특별시 관악구 남부순환로 지하 1721 (봉천동),02-6110-2291
40,2,신림,서울특별시 관악구 신림동 1467-10 2호선 신림역사,서울특별시 관악구 남부순환로 지하 1614 (신림동),02-6110-2301
41,2,신대방,서울특별시 동작구 신대방동 643-1 신대방역 2호선,서울특별시 동작구 대림로 2 (신대방동),02-6110-2311
42,2,구로디지털단지,서울특별시 구로구 구로동 810-3 구로디지털단지역,서울특별시 구로구 도림천로 477 (구로동),02-6110-2321
43,2,대림(구로구청),서울특별시 구로구 구로동 1204 대림역(2호선),서울특별시 구로구 도림천로 351 (구로동),02-6110-2331
44,2,신도림,서울특별시 구로구 신도림동 460-26 2호선 신도림역,서울특별시 구로구 새말로 지하 117-21 (신도림동),02-6110-2341
45,2,문래,서울특별시 영등포구 문래동3가 68-1문래역,서울특별시 영등포구 당산로 지하 28 (문래동3가),02-6110-2351
46,2,영등포구청,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),서울특별시 영등포구 당산로 지하 121 (당산동3가),02-6110-2361
47,2,당산,서울특별시 영등포구 당산동 6가 323-1 당산역,서울특별시 영등포구 당산로 229 (당산동 6가),02-6110-2371
48,2,합정,서울특별시 마포구 서교동 393 합정역(2호선),서울특별시 마포구 양화로 지하 55 (서교동),02-6110-2381
49,2,홍대입구,서울특별시 마포구 동교동 165 홍대입구역,서울특별시 마포구 양화로 지하160 (동교동),02-6110-2391
50,2,신촌,서울특별시 마포구 노고산동 31-11 신촌역,서울특별시 마포구 신촌로 지하 90 (노고산동),02-6110-2401
51,2,이대,서울특별시 마포구 염리동 8-85 이대역,서울특별시 마포구 신촌로 지하 180 (염리동),02-6110-2411
52,2,아현,서울특별시 마포구 아현동 354-23 아현역,서울특별시 마포구 신촌로 지하 270 (아현동),02-6110-2421
53,2,충정로(경기대입구),서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),서울특별시 서대문구 서소문로 지하 17 (충정로3가),02-6110-2431
54,2,용답,서울특별시 성동구 용답동 127 용답역,서울특별시 성동구 용답길 86 (용답동),02-6110-1341
55,2,신답,서울특별시 성동구 용답동 129-2 신답역,서울특별시 성동구 천호대로 232 (용답동),02-6110-1351
56,2,용두(동대문구청),서울특별시 동대문구 용두동 47-1 용두역,서울특별시 동대문구 천호대로 지하 129 (용두동),02-6110-1361
57,2,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),서울특별시 동대문구 왕산로 지하 1 (신설동),02-6110-1371
58,2,도림천,서울특별시 구로구 신도림동 323-16 도림천역,서울특별시 구로구 경인로 67길 160 (신도림동),02-6110-2441
59,2,양천구청,서울특별시 양천구 신정동 276-7 양천구청역,서울특별시 양천구 목동로3길 지하 33(신정동),02-6110-2451
60,2,신정네거리,서울특별시 양천구 신정동 1231 신정네거리역,서울특별시 양천구 중앙로 지하 261 (신정동),02-6110-2461
61,2,까치산,서울특별시 강서구 화곡동 662-5 까치산역,서울특별시 강서구 강서로 지하54(화곡동),02-6110-5180
62,3,지축,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,경기도 고양시 덕양구 삼송로 300 (지축동),02-6110-3191
63,3,구파발,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,서울특별시 은평구 진관2로 지하 15-25 (진관동),02-6110-3201
64,3,연신내,서울특별시 은평구 갈현동 397 연신내역(3호선),서울특별시 은평구 통일로 지하 849 (갈현동),02-6110-3211
65,3,불광,서울특별시 은평구 대조동 14-1 불광역(3호선),서울특별시 은평구 통일로 지하 723-1 (대조동),02-6110-3221
66,3,녹번,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,서울특별시 은평구 통일로 지하 602-1 (녹번동),02-6110-3231
67,3,홍제,서울특별시 서대문구 홍제동 161-1 홍제역,서울특별시 서대문구 통일로 지하 440-1 (홍제동),02-6110-3241
68,3,무악재,서울특별시 서대문구 홍제동 26-1 무악재역,서울특별시 서대문구 통일로 지하 361 (홍제동),02-6110-3251
69,3,독립문,서울특별시 서대문구 현저동 101 독립문역,서울특별시 서대문구 통일로 지하 247 (현저동),02-6110-3261
70,3,경복궁(정부서울청사),서울특별시 종로구 적선동 81-1 3호선 경복궁역,서울특별시 종로구 사직로 지하 130 (적선동),02-6110-3271
71,3,안국,서울특별시 종로구 안국동 155-2 3호선 안국역,서울특별시 종로구 율곡로 지하 62 (안국동),02-6110-3281
72,3,종로3가,서울특별시 종로구 묘동 59 종로3가역(3호선),서울특별시 종로구 돈화문로 지하 30 (묘동),02-6110-3291
73,3,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),서울특별시 중구 을지로 지하 129 (을지로3가),02-6110-3301
74,3,충무로,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",서울특별시 중구 퇴계로 지하 199 (필동2가),02-6110-4231
75,3,동대입구,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,서울특별시 중구 동호로 지하 256 (장충동2가),02-6110-3321
76,3,약수,서울특별시 중구 신당동 369-44 약수역(3호선),서울특별시 중구 다산로 지하 122 (신당동),02-6110-3331
77,3,금호,서울특별시 성동구 금호동4가 1470 금호역,서울특별시 성동구 동호로 지하 104 (금호동4가),02-6110-3341
78,3,옥수,서울특별시 성동구 옥수동 168-1 옥수역,서울특별시 성동구 동호로 21 (옥수동),02-6110-3351
79,3,압구정,서울특별시 강남구 신사동 668 압구정역,서울특별시 강남구 압구정로 지하 172 (신사동),02-6110-3361
80,3,신사,서울특별시 강남구 신사동 667 신사역,서울특별시 강남구 도산대로 지하 102 (신사동),02-6110-3371
81,3,잠원,서울특별시 서초구 잠원동 100-1 잠원역,서울특별시 서초구 잠원로 4길 지하 46 (잠원동),02-6110-3381
82,3,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),서울특별시 서초구 신반포로 지하 188 (반포동),02-6110-3391
83,3,교대(법원·검찰청),서울특별시 서초구 서초동 1748-4 교대역(3호선),서울특별시 서초구 서초대로 지하 294 (서초동),02-6110-3401
84,3,남부터미널(예술의전당),서울특별시 서초구 서초동 1748-30 남부터미널역,서울특별시 서초구 서초중앙로 지하 31 (서초동),02-6110-3411
85,3,양재(서초구청),서울특별시 서초구 서초동 1366-9 양재역,서울특별시 서초구 남부순환로 지하 2585 (서초동),02-6110-3421
86,3,매봉,서울특별시 강남구 도곡동 179-2 매봉역,서울특별시 강남구 남부순환로 지하 2744 (도곡동),02-6110-3431
87,3,도곡,서울특별시 강남구 도곡동 339-2 도곡역,서울특별시 강남구 남부순환로 지하 2814 (도곡동),02-6110-3441
88,3,대치,서울특별시 강남구 대치동 317-3 대치역,서울특별시 강남구 남부순환로 지하 2952 (대치동),02-6110-3451
89,3,학여울,서울특별시 강남구 대치동 514-3 학여울역,서울특별시 강남구 남부순환로 지하 3104 (대치동),02-6110-3461
90,3,대청,서울특별시 강남구 일원동 700-9 대청역,서울특별시 강남구 일원로 지하 2 (일원동),02-6110-3471
91,3,일원,서울특별시 강남구 일원동 717 일원역,서울특별시 강남구 일원로 지하 121 (일원동),02-6110-3481
92,3,수서,서울특별시 강남구 수서동 728 수서역,서울특별시 강남구 광평로 지하 270 (수서동),02-6110-3491
93,3,가락시장,서울특별시 송파구 가락동 184-23 가락시장역,서울특별시 송파구 송파대로 지하 257 (가락동),02-6110-3501
94,3,경찰병원,서울특별시 송파구 가락동 10-15 경찰병원역,서울특별시 송파구 중대로 지하 149 (가락동),02-6110-3511
95,3,오금,서울특별시 송파구 오금동 44-2 오금역,서울특별시 송파구 오금로 지하 321 (오금동),02-6110-3521
96,4,당고개,서울특별시 노원구 상계동 111 당고개역,서울특별시 노원구 상계로 305 (상계동),02-6110-4091
97,4,상계,서울특별시 노원구 상계동 156-203 상계역,서울특별시 노원구 상계로 182 (상계동),02-6110-4101
98,4,노원,서울특별시 노원구 상계동 602-5 노원역(4호선),서울특별시 노원구 상계로 69-1 (상계동),02-6110-4111
99,4,창동,서울특별시 도봉구 창동 135-1 창동역,서울특별시 도봉구 마들로 11길 77 (창동),02-6110-4121
100,4,쌍문,서울특별시 도봉구 창동 703-4 쌍문역,서울특별시 도봉구 도봉로 지하 486-1 (창동),02-6110-4131
101,4,수유(강북구청),서울특별시 강북구 수유동 140 수유역,서울특별시 강북구 도봉로 지하 338 (수유동),02-6110-4141
102,4,미아(서울사이버대학),서울특별시 강북구 미아동 194-1 미아역,서울특별시 강북구 도봉로 지하 198 (미아동),02-6110-4151
103,4,미아사거리,서울특별시 강북구 미아동 66-1 미아사거리역,서울특별시 강북구 도봉로 지하 50 (미아동),02-6110-4161
104,4,길음,서울특별시 성북구 길음동 877-66 길음역,서울특별시 성북구 동소문로 지하 248 (길음동),02-6110-4171
105,4,성신여대입구(돈암),서울특별시 성북구 동선동4가 1 성신여대입구역,서울특별시 성북구 동소문로 지하 102 (동선동4가),02-6110-4181
106,4,한성대입구(삼선교),서울특별시 성북구 삼선동1가 14 한성대입구역,서울특별시 성북구 삼선교로 지하 1 (삼선동1가),02-6110-4191
107,4,혜화,서울특별시 종로구 명륜4가 96-5 4호선 혜화역,서울특별시 종로구 대학로 지하 120 (명륜4가),02-6110-4201
108,4,동대문,서울특별시 종로구 종로6가 287-1 동대문역(4호선),서울특별시 종로구  율곡로 지하 308 (종로6가),02-6110-4211
109,4,동대문역사문화공원,서울특별시 중구 광희동2가 9 동대문역사문화공원역(4호선),서울특별시 중구 장충단로 지하 230 (광희동2가),02-6110-4221
110,4,충무로,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",서울특별시 중구 퇴계로 지하 199 (필동2가),02-6110-4231
111,4,명동,서울특별시 중구 충무로2가 109-2 명동역 4호선,서울특별시 중구 퇴계로 지하 126 (충무로2가),02-6110-4241
112,4,회현(남대문시장),서울특별시 중구 남창동 64-1 회현역 4호선,서울특별시 중구 퇴계로 지하 54 (남창동),02-6110-4251
113,4,서울역,서울특별시 중구 용산구 동자동 14-151 서울역(4호선),서울특별시 용산구 한강대로 지하 392 (동자동),02-6110-4261
114,4,숙대입구(갈월),서울특별시 용산구 갈월동 16-7 숙대입구역,서울특별시 용산구 한강대로 지하 306 (갈월동),02-6110-4271
115,4,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(4호선),서울특별시 용산구 한강대로 지하 180 (한강로1가),02-6110-4281
116,4,신용산,서울특별시 용산구 한강로2가 181 4호선 신용산역,서울특별시 용산구 한강대로 지하 112 (한강로2가),02-6110-4291
117,4,이촌(국립중앙박물관),서울특별시 용산구 용산동5가 17-112 4호선 이촌역,서울특별시 용산구 서빙고로 지하 83 (용산동5가),02-6110-4301
118,4,동작(현충원),서울특별시 동작구 동작동 327-1 4호선 동작역,서울특별시 동작구 현충로 257 (동작동),02-6110-4311
119,4,총신대입구(이수),서울특별시 동작구 사당동 736-1 총신대역4호선,서울특별시 동작구 동작대로 지하 117 (사당동),02-6110-4321
120,4,사당,서울특별시 동작구 사당동 588-4 사당역(4호선),서울특별시 동작구  동작대로 지하 3 (사당동),02-6110-4331
121,4,남태령,서울특별시 서초구 방배동 2909 남태령역,서울특별시 서초구 과천대로 지하 816 (방배동),02-6110-4341
122,5,방화,서울특별시 강서구 방화동 829-15 방화역,서울특별시 강서구 금낭화로 지하132 (방화동),02-6311-5100
123,5,개화산,서울특별시 강서구 방화동 846 개화산역,서울특별시 강서구 양천로 22(방화동),02-6311-5110
124,5,김포공항,서울특별시 강서구 방화동 886 김포공항역,서울특별시 강서구 하늘길 지하77 (방화동),02-6311-5120
125,5,송정,서울특별시 강서구 공항동 29-5 송정역,서울특별시 강서구 공항대로 지하33 (공항동),02-6311-5130
126,5,마곡,서울특별시 강서구 가양동 530-6 마곡역,서울특별시 강서구 공항대로 지하163 (가양동),02-6311-5140
127,5,발산,서울특별시 강서구 가양동 967-3 발산역,서울특별시 강서구 공항대로 지하267 (가양동),02-6311-5150
128,5,우장산,서울특별시 강서구 화곡동 1089-3 우장산역,서울특별시 강서구 강서로 지하262 (화곡동),02-6311-5160
129,5,화곡,서울특별시 강서구 화곡동 1089-54 화곡역,서울특별시 강서구 화곡로 지하168 (화곡동),02-6311-5170
130,5,까치산,서울특별시 강서구 화곡동 662-5 까치산역(5호선),서울특별시 강서구 강서로 지하54(화곡동),02-6311-5180
131,5,신정(은행정),서울특별시 양천구 신정동 1090 신정역,서울특별시 양천구 오목로 지하179 (신정동),02-6311-5190
132,5,목동,서울특별시 양천구 목동 926-3 목동역,서울특별시 양천구 오목로 지하245 (목동),02-6311-5200
133,5,오목교(목동운동장앞),서울특별시 양천구 목동 406-30 오목교역,서울특별시 양천구 오목로 지하342 (목동),02-6311-5210
134,5,양평,서울특별시 영등포구 양평동2가 33-79 양평역 ,서울특별시 영등포구 양산로 지하21(양평동2가),02-6311-5220
135,5,영등포구청,서울특별시 영등포구 당산동3가 556-1 영등포구청역(5호선),서울특별시 영등포구 양산로 지하116(당산동3가),02-6311-2361
136,5,영등포시장,서울특별시 영등포구 영등포동5가 62-1 영등포시장역,서울특별시 영등포구 양산로 지하200 (영등포동5가),02-6311-5240
137,5,신길,서울특별시 영등포구 영등포동1가 35 신길역,서울특별시 영등포구 경인로114가길 지하9 (영등포동1가),02-6311-5250
138,5,여의도,서울특별시 영등포구 여의도동 3 여의도역,서울특별시 영등포구 여의나루로 지하40 (여의도동),02-6311-5260
139,5,여의나루,서울특별시 영등포구 여의도동 84-4 여의나루역,서울특별시 영등포구 여의동로 지하343 (여의도동),02-6311-5270
140,5,마포,서울특별시 마포구 도화동 160 마포역,서울특별시 마포구 마포대로 지하33 (도화동),02-6311-5280
141,5,공덕,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",서울특별시 마포구 마포대로 지하100(공덕동),02-6311-5290
142,5,애오개,서울특별시 마포구 아현동 612 애오개역,서울특별시 마포구 마포대로 지하210 (아현동),02-6311-5300
143,5,충정로(경기대입구),서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),서울특별시 서대문구 충정로 지하28-1 (충정로3가),02-6311-5310
144,5,서대문,서울특별시 종로구 평동 210 서대문역,서울특별시 종로구 통일로 지하126 (평동),02-6311-5320
145,5,광화문(세종문화회관),서울특별시 종로구 세종로 1-90 광화문역,서울특별시 종로구 세종대로 지하172 (세종로),02-6311-5330
146,5,종로3가(탑골공원),서울특별시 종로구 낙원동 126 종로3가역(5호선),서울특별시 종로구 돈화문로11길 지하26 (돈의동),02-6311-5340
147,5,을지로4가,서울특별시 중구 을지로4가 192 을지로4가역(5호선),서울특별시 중구 창경궁로 지하51 (주교동),02-6311-5350
148,5,동대문역사문화공원,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),서울특별시 중구 마른내로 지하162 (광희동1가),02-6311-5360
149,5,청구,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",서울특별시 중구 청구로 지하77(신당동),02-6311-5370
150,5,신금호,서울특별시 성동구 금호동2가 223-1 신금호역,서울특별시 성동구 금호로 지하154 (금호동2가),02-6311-5380
151,5,행당,서울특별시 성동구 행당동 317-241 행당역,서울특별시 성동구 행당로 지하89 (행당동),02-6311-5390
152,5,왕십리(성동구청),서울특별시 성동구 행당동 192 왕십리역(5호선),서울특별시 성동구 왕십리로 지하300(행당동),02-6311-5400
153,5,마장,서울특별시 성동구 마장동 772 마장역,서울특별시 성동구 마장로 지하296 (마장동),02-6311-5410
154,5,답십리,서울특별시 성동구 용답동 99 답십리역,서울특별시 성동구 천호대로 지하300(용답동),02-6311-5420
155,5,장한평,서울특별시 동대문구 장안동 472-3 장한평역,서울특별시 동대문구 천호대로 지하405 (장안동),02-6311-5430
156,5,군자(능동),"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",서울특별시 광진구 천호대로 지하550 (능동) ,02-6311-5440
157,5,아차산(어린이대공원후문),서울특별시 광진구 능동 256-16 아차산역,서울특별시 광진구 천호대로 지하657 (능동),02-6311-5450
158,5,광나루(장신대),서울특별시 광진구 광장동 237 광나루역,서울특별시 광진구 아차산로 지하571 (광장동),02-6311-5460
159,5,천호(풍납토성),"서울특별시 강동구 천호동 455 천호역(5, 8호선)",서울특별시 강동구 천호대로 지하997 (천호동),02-6311-5470
160,5,강동,서울특별시 강동구 천호동 447 강동역,서울특별시 강동구 천호대로 지하1097 (천호동),02-6311-5480
161,5,길동,서울특별시 강동구 길동 378 길동역,서울특별시 강동구 양재대로 지하1480 (길동),02-6311-5490
162,5,굽은다리(강동구민회관앞),서울특별시 강동구 명일동 345-12 굽은다리역,서울특별시 강동구 양재대로 지하1572 (명일동),02-6311-5500
163,5,명일,서울특별시 강동구 명일동 312 명일역,서울특별시 강동구 양재대로 지하1632 (명일동),02-6311-5510
164,5,고덕,서울특별시 강동구 고덕동 310 고덕역,서울특별시 강동구 고덕로 지하253 (고덕동),02-6311-5520
165,5,상일동,서울특별시 강동구 상일동 148 상일동역,서울특별시 강동구 고덕로 지하359 (상일동),02-6311-5530
166,5,둔촌동,서울특별시 강동구 둔촌동 416 둔촌동역,서울특별시 강동구 양재대로 지하1369 (둔촌동),02-6311-5540
167,5,올림픽공원(한국체대),서울특별시 송파구 방이동 89-28 올림픽공원역,서울특별시 송파구 양재대로 지하1233 (방이동),02-6311-5550
168,5,방이,서울특별시 송파구 방이동 217-2 방이역,서울특별시 송파구 양재대로 지하1127 (방이동),02-6311-5560
169,5,오금,서울특별시 송파구 오금동 44-2 오금역,서울특별시 송파구 오금로 지하321(오금동),02-6311-3521
170,5,개롱,서울특별시 송파구 오금동 165-2 개롱역,서울특별시 송파구 오금로 지하402 (가락동),02-6311-5580
171,5,거여,서울특별시 송파구 거여동 20-14 거여역,서울특별시 송파구 오금로 지하499(거여동),02-6311-5590
172,5,마천,서울특별시 송파구 마천동 307-4 마천역,서울특별시 송파구 마천로57길 지하7(마천동),02-6311-5600
173,6,응암,서울특별시 은평구 역촌동 85-41 응암역,서울특별시 은평구 증산로 지하477 (역촌동),02-6311-6100
174,6,역촌,서울특별시 은평구 녹번동 144-69 역촌역,서울특별시 은평구 서오릉로 지하63 (녹번동),02-6311-6110
175,6,불광,서울특별시 은평구 대조동 14-1 불광역(6호선),서울특별시 은평구 통일로 지하723-1 (대조동),02-6311-6120
176,6,독바위,서울특별시 은평구 불광동 13-33 독바위역,서울특별시 은평구 불광로 지하129-1 (불광동),02-6311-6130
177,6,연신내,서울특별시 은평구 갈현동 397 연신내역,서울특별시 은평구 통일로 지하849 (갈현동),02-6311-3211
178,6,구산,서울특별시 은평구 구산동 1 구산역,서울특별시 은평구 연서로 지하137-1(구산동),02-6311-6150
179,6,새절(신사),서울특별시 은평구 신사동 337-5 새절역,서울특별시 은평구 증산로 지하400 (신사동,02-6311-6160
180,6,증산(명지대앞),서울특별시 은평구 증산동 199-8 증산역,서울특별시 은평구 증산로 지하306(증산동),02-6311-6170
181,6,디지털미디어시티,서울특별시 은평구 수색동 37-36 디지털미디어시티역,서울특별시 은평구 수색로 지하175 (증산동),02-6311-6180
182,6,월드컵경기장(성산),서울특별시 마포구 성산동 420 월드컵경기장역,서울특별시 마포구 월드컵로 지하240 (성산동),02-6311-6190
183,6,마포구청,서울특별시 마포구 성산동 592 마포구청역,서울특별시 마포구 월드컵로 지하190 (성산동),02-6311-6200
184,6,망원,서울특별시 마포구 망원동 378 망원역,서울특별시 마포구 월드컵로 지하77 (망원동),02-6311-6210
185,6,합정,서울특별시 마포구 합정동 414 합정역(6호선),서울특별시 마포구 양화로 지하45 (합정동),02-6311-6220
186,6,상수,서울특별시 마포구 상수동 309-10 상수역,서울특별시 마포구 독막로 지하85 (상수동),02-6311-6230
187,6,광흥창(서강),서울특별시 마포구 창전동 145-17 광흥창역,서울특별시 마포구 독막로 지하165 (창전동),02-6311-6240
188,6,대흥(서강대앞),서울특별시 마포구 대흥동 128-1 대흥역,서울특별시 마포구 대흥로 지하85(대흥동),02-6311-6250
189,6,공덕,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",서울특별시 마포구 마포대로 지하100(공덕동),02-6311-5290
190,6,효창공원앞,서울특별시 용산구 효창동 80 효창공원앞역,서울특별시 용산구 백범로 지하287 (효창동),02-6311-6270
191,6,삼각지,서울특별시 용산구 한강로1가 228-1 삼각지역(6호선),서울특별시 용산구 한강대로 지하185 (한강로1가),02-6311-6280
192,6,녹사평(용산구청),서울특별시 용산구 용산동 4가 4 녹사평역,서울특별시 용산구 녹사평대로 지하195 (용산동4가),02-6311-6290
193,6,이태원,서울특별시 용산구 이태원동 119-23 이태원역,서울특별시 용산구 이태원로 지하177(이태원동),02-6311-6300
194,6,한강진,서울특별시 용산구 한남동 726-494 한강진역,서울특별시 용산구 이태원로 지하287 (한남동),02-6311-6310
195,6,버티고개,서울특별시 중구 신당동 366-454 버티고개역,서울특별시 중구 다산로 지하38 (신당동),02-6311-6320
196,6,약수,서울특별시 중구 신당동 369-2 약수역(6호선),서울특별시 중구 다산로 지하115 (신당동),02-6311-6330
197,6,청구,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",서울특별시 중구 청구로 지하77(신당동),02-6311-5370
198,6,신당,서울특별시 중구 흥인동 162-1 신당역(6호선),서울특별시 중구 다산로 지하260 (흥인동),02-6311-6350
199,6,동묘앞,서울특별시 종로구 창신동 263-2 동묘앞역(6호선),서울특별시 종로구 지봉로 지하24 (숭인동),02-6311-6360
200,6,창신,서울특별시 종로구 창신동 20-8 창신역,서울특별시 종로구 지봉로 지하112 (창신동),02-6311-6370
201,6,보문,서울특별시 성북구 보문동 1가 127-1 보문역,서울특별시 성북구 보문로 지하116 (보문동1가),02-6311-6380
202,6,안암(고대병원앞),서울특별시 성북구 안암동5가 146-1 안암역,서울특별시 성북구 인촌로 지하89 (안암동5가),02-6311-6390
203,6,고려대(종암),서울특별시 성북구 종암동 29-18 고려대역,서울특별시 성북구 종암로 지하1 (종암동),02-6311-6400
204,6,월곡(동덕여대),서울특별시 성북구 하월곡동 35-1 월곡역,서울특별시 성북구 월곡로 지하107 (하월곡동),02-6311-6410
205,6,상월곡(한국과학기술연구원),서울특별시 성북구 상월곡동 26-1 상월곡역,서울특별시 성북구 화랑로 지하157 (상월곡동),02-6311-6420
206,6,돌곶이,서울특별시 성북구 석관동 349-8 돌곶이역,서울특별시 성북구 화랑로 지하243 (석관동),02-6311-6430
207,6,석계,서울특별시 노원구 월계동 25-2 석계역,서울특별시 노원구 화랑로 지하347-1 (월계동),02-6311-6440
